Author,BookName,Press,Price,Score,Time
"
                [美]
            彼得·海斯勒",江城, 上海译文出版社, 36.00元, 9.0 , 2012-1
"
            九夜茴",匆匆那年（上下）, 东方出版社, 29.00, 8.3 , 2008-1
"
                [日]
            川端康成",伊豆的舞女, 广西师范大学出版社, 23.80元, 8.2 , 2002-2
"
            莎伦·L·莱希特",富爸爸，穷爸爸, 世界图书出版公司, 18.80, 8.2 , 2000-09
"
                [印度]
            拉宾德拉纳特·泰戈尔",飞鸟集, 哈尔滨出版社, 16.80元, 8.8 , 2004-6
"
            安东尼",橙, 长江文艺出版社, 28.80元, 8.2 , 2010-10
"
                [英]
            乔治·奥威尔",一九八四·动物农场, 上海译文出版社, 23.00元, 9.3 , 2003-4
"
                [美]
            海莲·汉芙",查令十字街84号, 译林出版社, 18.00元, 8.3 , 2005-05-01
"
                [德]
            帕·聚斯金德",香水, 上海译文出版社, 20.00元, 8.5 , 2005-5
"
                [意]
            伊塔洛·卡尔维诺",看不见的城市, 译林出版社, 16.00元, 8.8 , 2006-8
"
            约翰·赫斯特",你一定爱读的极简欧洲史, 广西师范大学出版社, 25.00元, 8.2 , 2011-11-25
"
            王安忆",长恨歌, 南海出版公司, 22.00元, 8.2 , 2003-8
"
            笛安",东霓, 长江文艺出版社, 26.80元, 8.1 , 2010-7-1
"
            七堇年",大地之灯, 长江文艺出版社, 22.00元, 8.2 , 2007-1
"
            李海鹏",佛祖在一号线, 文化艺术出版社, 25.00元, 8.2 , 2010-6
"
                [日]
            村上春树",国境以南 太阳以西, 上海译文出版社, 13.50元, 8.3 , 2001-8
"
            亨利·戴维·梭罗",瓦尔登湖, 上海译文出版社, 11.00元, 8.4 , 2006-8
"
            吴承恩",西游记（全二册）, 人民文学出版社, 47.20元, 8.8 , 2004-8
"
            曹禺",雷雨, 人民文学出版社, 9.20, 8.5 , 1999-05
"
            八月长安",最好的我们, 湖南文艺出版社, 55, 8.8 , 2013-8-5
"
                [英]
            伊恩·麦克尤恩",最初的爱情 最后的仪式, 南京大学出版社, 22.00元, 8.0 , 2010-2
"
                [美]
            严歌苓",陆犯焉识, 作家出版社, 35.00元, 8.8 , 2011-10
"
                [美]
            丹·布朗",天使与魔鬼, 人民文学出版社, 29.80元, 8.1 , 2005-2
"
            罗贯中",水浒传（全二册）, 人民文学出版社, 50.60元, 8.5 , 1997-1
"
            Hans",阿狸·梦之城堡, 上海锦绣文章出版社, 36.80元, 9.0 , 2009-1
"
            安妮宝贝（庆山）",蔷薇岛屿, 作家出版社, 18.00元, 8.0 , 2002-8
"
                [日]
            乙一",ZOO, 当代世界出版社, 20.00元, 8.6 , 2007-10
"
                [英]
            史蒂芬·霍金",时间简史, 湖南科学技术出版社, 45.00元, 8.8 , 2010-4
"
            九把刀",那些年，我们一起追的女孩, 花山文艺出版社, 20.00元, 8.2 , 2007-1
"
                [法]
            司汤达",红与黑, 译林出版社, 20.00, 8.2 , 1993-7-1
"
                [日]
            岛田庄司",占星术杀人魔法, 新星出版社, 28.00, 8.3 , 2008-9
"
            王小波",我的精神家园, 文化艺术出版社, 18.80元, 9.1 , 1997
,浮生六记, 人民文学出版社, 5.70元, 8.9 , 1999/1
"
            路遥",人生, 北京十月文艺出版社, 20.00元, 8.4 , 2009-5
"
                [英]
            阿加莎·克里斯蒂",尼罗河上的惨案, 人民文学出版社, 22.00元, 8.7 , 2006-5
"
            江南",九州·缥缈录, 新世界出版社, 20.00元, 8.8 , 2005-6
"
            史铁生",我与地坛, 春风文艺出版社, 25.00元, 9.0 , 2002-5
"
            刘震云",一句顶一万句, 长江文艺出版社, 29.80, 8.7 , 2009-3
"
            萧红",呼兰河传, 百花文艺出版社, 19.00, 8.9 , 2005-01
"
                [美]
            戴尔·卡耐基",人性的弱点全集, 中国发展出版社, 25.00元, 8.3 , 2008-1
"
            木心",文学回忆录（全2册）, 广西师范大学出版社, 98.00元, 9.2 , 2013-1-10
"
            吴晓波",激荡三十年（上）, 中信出版社 浙江人民出版社, 35.00, 8.8 , 2007-1
"
                [澳]
            马克斯·苏萨克",偷书贼, 南海出版公司, 25.00元, 8.0 , 2007-8
"
                [美]
            莉兹·克里莫",你今天真好看, 雅众文化/天津人民出版社, 39.00元, 8.7 , 2015-8
,没有色彩的多崎作和他的巡礼之年, 南海出版公司, 39.50元, 8.2 , 2013-10-1
"
            梁文道",我执, 广西师范大学出版社, 35.00元, 8.0 , 2010-10
"
            王国维",人间词话, 上海古籍出版社, 9.80元, 9.0 , 1998-12-01
"
                [美]
            艾·弗洛姆",爱的艺术, 上海译文出版社, 15.00元, 8.8 , 2008-4
"
            张爱玲  ",第一炉香, 花城出版社, 11.5, 8.4 , 1997-3
"
                [美]
            严歌苓",小姨多鹤, 作家出版社, 28.00元, 8.6 , 2008-4
"
            林达",带一本书去巴黎, 生活·读书·新知三联书店, 35.00元, 8.5 , 2002-5
"
                [日]
            村上春树",寻羊冒险记, 上海译文出版社, 18.80元, 8.1 , 2001-8
,斯通纳, 世纪文景/上海人民出版社, 39.00元, 8.8 , 2016-1
"
            齐邦媛",巨流河, 生活·读书·新知三联书店, 39.00元, 8.7 , 2010-10
"
                [美]
            黄仁宇",中国大历史, 生活·读书·新知三联书店, 19.00元, 8.3 , 2007-2
,子不语1, 新世纪出版社, RMB36.00, 9.0 , 2009-12
,芳华, 人民文学出版社, CNY 39.00, 8.1 , 2017-4-1
"
                [英]
            阿加莎·克里斯蒂",罗杰疑案, 人民文学出版社, 21.00元, 8.9 , 2006-5
"
            刘瑜",观念的水位, 浙江大学出版社, 36.00元, 8.3 , 2013-1
"
            王朔",动物凶猛, 中国电影出版社, 15.5, 8.3 , 2004-2
"
                [以色列]
            尤瓦尔·赫拉利",未来简史, 中信出版社, 68, 8.5 , 2017-1
,父与子全集, 中国工人出版社, 20.00元, 9.1 , 2003-4
"
                [日]
            安倍夜郎",深夜食堂 01, 湖南文艺出版社, 25.00元, 9.1 , 2013-1
,新参者, 南海出版公司, 28.00元, 8.4 , 2011-9
,阿麦从军：全新修订版, 作家出版社, 108.00元, 8.9 , 2017-8-1
"
            王小波",红拂夜奔, 江苏文艺出版社, 28.00元, 8.6 , 2005-1
"
            幾米",星空, 大塊文化, NT369, 9.0 , 2009-5-1
"
                [德]
            本哈德·施林克",朗读者, 译林出版社, 22.00, 8.3 , 2009-2
"
            流潋紫",后宫·甄嬛传Ⅰ, 花山文艺出版社, 22.00元, 8.0 , 2007-2
,雾都孤儿, 上海译文出版社, 10.10元, 8.1 , 1991-7
"
                [美]
            贾雷德·戴蒙德",枪炮、病菌与钢铁, 上海世纪出版集团, 45.00元, 8.8 , 2006-4-1
"
            海宴",琅琊榜, 朝华出版社, 49.80元, 8.5 , 2007-12
"
                [日]
            凑佳苗",告白, 時報文化, NT$250, 8.6 , 2009年8月31日
"
                [英]
            威廉·莎士比亚",哈姆莱特, 人民文学出版社, 7.00元, 8.5 , 2001-1
"
            三毛",雨季不再来, 北京十月文艺出版社, 28.00元, 8.7 , 2007-7
"
            韩寒",可爱的洪水猛兽, 万卷出版公司, 25.00元, 8.1 , 2009-08-01
"
            三毛",万水千山走遍, 哈尔滨出版社, 13.80, 8.8 , 2003-08
"
            王小波",白银时代, 花城出版社, 10.00元, 8.4 , 1997-5
"
                [美]
            米奇·阿尔博姆",相约星期二, 上海译文出版社, 19.00元, 8.4 , 2007-7
"
            白先勇",台北人, 广西师范大学出版社, 38.00元, 8.9 , 2010-10
"
                [英]
            威廉·萨默塞特·毛姆",面纱, 重庆出版社, 32.00元, 8.7 , 2012-5
"
            匪我思存",来不及说我爱你, 新世界出版社, 20.00元, 8.1 , 2006-9
"
                [日]
            芥川龙之介",罗生门, 上海译文出版社, 12.00元, 8.7 , 2008-7
,一千零一夜, 人民文学出版社, 22.0, 8.6 , 2003-01
"
            桐华",云中歌1, 作家出版社, 24.80元, 8.1 , 2007-9
"
            陈丹青",退步集, 广西师范大学出版社, 38.00元, 8.1 , 2005-1
"
            杨显惠",夹边沟记事, 花城出版社, 34.00元, 9.2 , 2008-09
"
                [美]
            尼尔·波兹曼",娱乐至死, 广西师范大学出版社, 29.80元, 8.6 , 2011-6
"
                [美]
            马里奥·普佐",教父, 译林出版社, 23.30元, 9.0 , 1997-8
"
            海子",海子的诗, 人民文学出版社, 15.40, 8.9 , 1999-04
"
                [法]
            居伊·德·莫泊桑",项链, 河北教育出版社, 28.00元, 8.3 , 2005-2
"
                [美]
            史蒂芬·柯维",高效能人士的七个习惯（精华版）, 中国青年出版社, 29.00元, 8.2 , 2011-6
"
                [日]
            村上春树",舞！舞！舞！, 上海译文出版社, 25.00元, 8.3 , 2002-6
